,True_Price_Adoption_Rate,Average_Satisfaction,Average_Choice_Changes,Average_Decision_Mode_Changes,Average Degree,Variance of Degree,Average Clustering,Average Path Length,Avg_F_Satisfaction,Avg_S_Satisfaction,Avg_P_Satisfaction,Avg_F_Uncertainty,Avg_S_Uncertainty,Avg_P_Uncertainty,Adoption Rates
0,0.0,0.463857704684784,0.055374999999999994,1.0,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.3550405318626561,0.7676904733473322,0.23443176797641468,0.9268920826882351,0.6126041666666667,0.5713074731699969,0.0
1,0.0,0.47991538397956524,0.067,1.052875,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.3646454410270365,0.7676904733473322,0.26900041026011456,0.9225914451549831,0.6126041666666667,0.5758037241970368,0.0
2,0.0,0.4823033734531011,0.079,1.0645,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.368248849992065,0.7676904733473322,0.27316884718133505,0.9207849134671402,0.6126041666666667,0.574747337003993,0.0
3,100.0,0.3853070987407404,0.65225,1.718125,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.5062834202761117,0.5117736521122358,0.18529818586512717,0.8239930811978147,0.0015208333333333335,0.4872191297456879,100.0
4,100.0,0.6290321786705253,0.777625,2.316375,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.594258554888751,0.7676904733473322,0.5111444841210828,0.7829376306416628,0.0,0.5372273711372351,100.0
5,100.0,0.6686047243315754,0.897875,2.4415,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.6477593255485431,0.7676904733473322,0.5649729035772211,0.7524139459161209,0.0,0.5280348919979195,100.0
6,100.0,0.7049509018027214,0.942,2.561,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.6985555287373175,0.7676904733473322,0.6138759700369358,0.7207641550345453,0.0,0.5191783502708265,100.0
7,100.0,0.7180944947425867,0.9473749999999999,2.6045000000000003,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.7167497957013738,0.7676904733473322,0.6309408819612361,0.709692736787894,0.0,0.5163840787607357,100.0
8,100.0,0.7192626920403457,0.9483750000000001,2.6092500000000003,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.718260984904889,0.7676904733473322,0.6324735783421004,0.7088314700095216,0.0,0.5160285462481857,100.0
9,100.0,0.7194078104745374,0.9490000000000001,2.6102499999999997,829.27375,53605.11881093749,0.6702736487385615,1.4821544715447155,0.7184517275660587,0.7676904733473322,0.6326174836458334,0.7087061252895682,0.0,0.516009488940449,100.0
